id_phos	Cell1_DMSO_1	Cell1_DMSO_2	Cell1_DMSO_3	Cell1_inhibitor1_1	Cell1_inhibitor1_2	Cell1_inhibitor1_3	Cell1_inhibitor2_1	Cell1_inhibitor2_2	Cell1_inhibitor2_3	Cell2_DMSO_1	Cell2_DMSO_2	Cell2_DMSO_3	Cell2_inhibitor1_1	Cell2_inhibitor1_2	Cell2_inhibitor1_3	Cell2_inhibitor2_1	Cell2_inhibitor2_2	Cell2_inhibitor2_3
4225_1	0.8818482544749724	0.42768757563336735	0.3348008478300404	0.22300760541413567	0.14496353894950698	-0.9740279596077794	-0.118871014489903	-0.43286514248976893	-1.9753129598791084	0.31538285975154956	0.4472197160575506	0.238927402733367	0.711340684199051	0.44699825546561023	0.5532605475416421	0.5007327608973675	0.37042485764486344	0.7148340444455066
423_2	0	0	0	0	0	0	0	0	0	0.09323838090084813	0.0012753584339053603	0.10949101923450044	1.1228433559621998	0.7735438256175637	0.7757573800102531	-0.03171585060768223	0.17001575642262168	0.51074506111377
4231_1	0	0	0	0	0	0	0	0	0	-0.2539828806689375	-0.2992355207486339	-0.7087856370072636	-0.2417267619403365	0.3587133798382993	0.11619101912518204	-0.04263253383182075	-0.24604105955968336	-0.3499595318535853
4231_2	0	0	0	0	0	0	0	0	0	0.31825682024368795	-0.2863202644067	-0.039791246319282436	-0.2631934340254478	-0.41827566074095834	-0.7311727758510553	-0.3247070960364784	-0.5392378307588359	-1.0558054854130408
4232_2	0	0	0	0	0	0	0	0	0	0.31825682024368795	-0.2863202644067	-0.039791246319282436	-0.2631934340254478	-0.41827566074095834	-0.7311727758510553	-0.3247070960364784	-0.5392378307588359	-1.0558054854130408
4234_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4236_1	-0.05551504655255002	-0.1736967716222928	0.701268373631672	-0.3514334988281007	-0.21436946533659285	0.7399534673268278	0.0738819297973965	-0.02794899671143014	0.9080564277489476	-0.1865716530675865	-0.18766593354140593	-0.02696531032984595	0.39980551432735467	0.5997843091724366	0.03469603152615797	-0.3279666061940105	-0.31713768091564987	0.04629203220035549
4236_2	0.5375473115505862	0.49642798125783116	0.02852633144719441	-0.07961164700521195	0.11859061498638379	0.06774782295095605	0.010698713810553429	0.21816630845664164	0.575697702015086	0.20799947661358154	0.36871998560660035	0.14872202874803975	0.580879056854009	0.6721129913489303	0.262904047775935	-0.38275054513930584	-0.23639291252068162	0.2070280217363205
4237_1	0.35845317121252407	0.1255910953565742	1.1627845725351271	0.22546395174974876	-0.1927632275807989	1.1515583805730287	0.5194276642168774	0.5321232536635563	1.5804096440629447	-0.18853654003006248	0.04019042105098425	-0.3928890271745864	0.9003541462839095	1.4361116272878132	0.7097767219134941	-0.4112303898784262	-0.08858350954864846	0.15873339515879792
4237_2	0.5375473115505862	0.49642798125783116	0.02852633144719441	-0.07961164700521195	0.11859061498638379	0.06774782295095605	0.010698713810553429	0.21816630845664164	0.575697702015086	0.20799947661358154	0.36871998560660035	0.14872202874803975	0.580879056854009	0.6721129913489303	0.262904047775935	-0.38275054513930584	-0.23639291252068162	0.2070280217363205
424_1	0	0	0	0	0	0	0	0	0	0.1493469568324972	-0.10288903378151826	0.058789397927043296	-0.4315668000989632	-0.07834370402862767	0.19201114551242604	0.16820591183196498	0.5217941442778589	0.3035539667963292
424_2	0	0	0	0	0	0	0	0	0	0.09323838090084813	0.0012753584339053603	0.10949101923450044	1.1228433559621998	0.7735438256175637	0.7757573800102531	-0.03171585060768223	0.17001575642262168	0.51074506111377
4240_1	0.07048666556575434	1.3861250307537407	-0.32367411892639275	-0.8781441018562415	0.7468982460551006	-2.0002376541745743	0.2699281918402434	0.9416177770735779	-1.2225975345380835	-0.08941651548358998	-0.013170764714369732	-0.3203627964762319	-1.3951693637157128	-0.5628856163707692	-0.24170555823211792	0.008814401839025265	-0.25762153194846604	-0.36994768064979056
4243_2	-0.7723986424666158	-0.6391471531548731	-0.3095613609109549	-0.3306572807401622	-0.4564577782577919	0.16016882935386434	-0.43202871186848313	-0.8942762000324649	0.2197979648727415	0.8443730790927386	0.19995324273501414	-0.03908491720972407	-0.3990031243808474	-0.17796049365502675	-0.23972885293333057	0.22525761514638631	0.17339967688728208	0.5224487240750335
425_1	0	0	0	0	0	0	0	0	0	1.2672106776480216	-0.831013265408985	0.6074110726751023	1.0343061350744662	1.7091511124194625	0.429997680479401	0.5873379176356632	-0.40967601222783223	0.6825715796617242
4252_1	-0.07064542165045395	0.21976565407890902	-0.11880228014611127	-0.5362886402668536	-0.42291869316796227	-0.960907617372591	-0.7400776580162951	-0.4137360091633653	-1.4720581688504577	0.6974933495408262	0.5070018842419879	0.5344834579527067	-0.023399879738107643	-0.21710016671674914	0.11960717753965433	0.19120434517943963	0.1591028780814483	0.1721296591773367
4259_1	0	0	0	0	0	0	0	0	0	-0.5882260302331286	-1.299940177553382	-0.4530600133245706	1.5846203410749737	0.9811308980689493	1.3999359175580874	-1.4133821702099532	-1.2032093679039697	-1.0659079885827651
426_1	0	0	0	0	0	0	0	0	0	0.08990414411401737	0.12090806834523438	-0.12324062484109888	0.1331729697607109	0.13517898187977728	-0.23617408244361293	-0.047885539447594994	0.191621520157355	-0.15944322324202176
4260_1	0	0	0	0	0	0	0	0	0	-0.5042483311066963	-0.3057246004016081	0.03116546786047003	-0.8798169356707319	-1.2924326204678387	-0.03197974917490498	-0.8247766093490778	-0.7464871003566635	0.24003488524967942
4260_2	0	0	0	0	0	0	0	0	0	0.09975990741027907	-1.1155578806191615	0.43851809074788406	0	0	-1.4643224268729185	0.7016570966036255	0.18705654220468482	0.5727191457220204
4261_1	0	0	0	0	0	0	0	0	0	-0.1838199713279618	0.45854674820577035	0.0443938912477968	0.16013062165142244	-0.1563731088716267	0.4584826364811416	0.19097058482777385	0.3161687991880662	-0.0069670718500560724
4262_1	0	0	0	0	0	0	0	0	0	0.16886525119532614	0.5445357457398012	0.4322513137213786	-0.9672186313611508	-1.5212744587903586	-0.17985666221328245	0.016613753783737195	-0.1308004770773028	-0.013039306193213918
4263_1	-3.9591136332614685	0	-2.5501844224089307	0.034045681960423124	-0.796322779561577	0.78122354287636675	0.7786758385665653	-0.20075154636254133	1.0450372043567686	-3.2261652228284525	-6.153649636356261	-8.132014896667433	1.3148914817420767	2.2660271315384133	0.5384755877830738	-0.01820235554679428	0.02334013557219805	0.018905141298567685
4265_1	-0.9076109470786964	-0.6483244175443144	1.5148257327946144	0.4929497581987299	1.0492385089255292	0	0.8492376249181941	-1.0856548835738273	0	0	0	0	0	0	0	0	0	0
4266_1	0.7894742148173979	0.45159788321509	-1.5961032895998795	0	-1.2470786391839708	0	-1.37310694174508	0.6877601467380181	0	0	0	0	0	0	0	0	0	0
4267_1	-0.781832131266512	-0.882058161292532	0	-0.34298888922566917	0.4028889588492701	0	-0.05560794951358794	-0.4475279281951021	0	0	0	0	0	0	0	0	0	0
4268_1	-0.36161107120994274	-0.17358837446129627	0.8855571652729761	0.0362763479675543	-0.07189563253735276	0.9742763160976473	0.2685326654726463	-0.08540492408317846	1.4091569921852294	0	0	0	0	0	0	0	0	0
427_1	-1.50821067292134	-0.7558791259761399	-0.5433239803222811	-1.7280901619315756	-0.8674834318324054	-2.614892702654794	-3.2644521613538373	-1.9078542896166777	0	-0.04825826694293234	0.2510030137071064	-0.04972328739277998	-0.056897712375171494	0.09608114936696488	0.1250488786648578	0.5734995704754766	0.7469443410307797	0.4742521508578186
4274_1	0.09406032456110935	0.40753136521033184	0	-1.139469327982484	-1.3346320147738444	0.1661748429286618	-0.7368442643648248	-0.19254464561617723	0.33108540429559064	0	0	0	0	0	0	0	0	0
4275_1	0	0	0	0	0	0	0	0	0	-0.2886551106737496	-0.5567468626176142	-0.7656854978302441	-0.5301892554714769	-0.06309013704124489	-0.5368980754619379	-0.19189146121474465	0.17134372492894556	-0.2536691742299819
4275_2	0	0	0	0	0	0	0	0	0	0.5834069971616298	0.39674382660115004	0.6507753422966616	0.900905799694339	0.493893729366933	0.40068011132932924	0.05933091568632953	0.6148772995870413	0.7550147906049354
4276_2	0	0	0	0	0	0	0	0	0	0.5834069971616298	0.39674382660115004	0.6507753422966616	0.900905799694339	0.493893729366933	0.40068011132932924	0.05933091568632953	0.6148772995870413	0.7550147906049354
4277_1	0	0	0	0	0	0	0	0	0	-0.8170772105546966	-0.6096688852832814	-0.7353515206389307	-0.6985462516370688	0.34745121192741735	-0.16750394598089713	-0.7146293394807355	-0.57677693147809	-0.39370290404875163
4278_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4279_1	0	0	0	0	0	0	0	0	0	0.46211968116181446	0.07890373981561272	0.25362723504056106	0.6914682095702531	0.38887914859471984	0.039581797906185656	-0.2785343556099278	-0.2902804433508308	-0.31540837885346207
4280_1	0.3205571500192512	-0.030273632699525876	0	-1.0640348541921227	-0.7193361384553585	0	-1.0088529462411753	0.5148573368293778	0	0.686339724814653	0.6720926844794528	0.9950620659144462	-0.0020342434368529894	-0.4366064254237205	-0.03569268134680037	0.22496722185847773	0.030236193102798126	0.21094616232190688
4281_1	0	0	0	0	0	0	0	0	0	0	0.5777663272295852	-0.010379338447057407	0	0	0	0.3176177673421705	-0.020651047718091675	0
4284_1	0	0	0	0	0	0	0	0	0	0	0	0	0.29447951169603215	-0.3257700085491493	-0.7715705949710703	-2.320501644157323	-1.3274573777837393	0
4286_1	-0.2011557868827758	-0.03469265067931815	0.4250055291792929	-0.3242494926990851	-0.035243038217967815	0.5292084688109924	-0.1934111281587061	0.07673093082354399	0.16078476975877543	0.37314194654399024	0.4751012684270899	0.5374446515421809	0.5847541497610962	0.6393522844627473	0.7273172367827225	0.2145108159060527	0.20363074138052184	0.14648676927807358
4287_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4288_1	0.28570389626396775	-0.15219118984757785	0.700975980507442	0.8117728728373415	0.38106986554020406	0.7800925316559457	0.6748075567255132	0.8162084550787831	1.037721088504755	-1.9358770281621869	-2.0843025617892375	-2.3057065086609185	-0.023505511975608684	0.3391920381479743	-0.5210160280134861	-1.5331809285397302	-1.6740301811529399	-2.321246228637605
4291_1	0	0	0	0	0	0	0	0	0	-1.0363038592953568	-0.09300424845827582	-0.36476087296867377	-0.47577270240372016	-0.12647644600025387	0.5014815767690326	-0.0776930050364335	0.21550546076204746	-0.3513691257772642
4293_1	0	0	0	0	0	0	0	0	0	-1.00489303776844	-0.1232041063232634	-0.014577153064573523	-0.06415393881084697	-0.688010661669864	0.45955472922985585	-0.840140741251826	0.2587905283516392	-0.24276432110720236
4294_1	0.22477359857680668	0.34378882910306885	-0.8501071817473225	-0.417623813838075	0.4260619942545274	0	0.9318415445915793	0.30846828791647773	0	0	0	0	0	0	0	0	0	0
4294_2	0	0	0	0	0	0	0	0	0	0.30897220632401456	0.5812223049045384	0.24310775755101766	-0.3091446947587855	-0.3245111021319449	0.2869703958678489	0.03316713198121768	-0.08462193395739526	-0.042517447594535795
4295_1	-0.45781378765832415	-0.12866424691128842	-0.4880202474845685	-0.5720452167136614	-0.4228229902986742	-1.3315474017875601	-1.093104221063255	-0.614696885541818	0	0.021089234989220884	0.1406292692791924	0.1621542882625988	0.20643761756905477	-0.27312069971985586	-0.21155247668831656	-0.3373200717160678	-0.09428290238735215	-0.18231931432761428
4296_1	0	0	0	0	0	0	0	0	0	0.02059542594124686	-0.39333359100402543	-0.21336376989025396	0.48399142047843213	0.263901428409115	-0.12077526106265957	-0.1885420233849473	-0.2980386487881077	-0.4418908980116747
4298_1	1.1027571606738178	0.45328329513728605	0	0	0	0	0	1.1556417907624876	0	0	0	0	0	0	0	0	0	0
430_1	0	0	0	0	0	0	0	0	0	0.7242489316291252	0.964647211175877	0.8800972968085965	0.2451969924849564	0.887136203793375	0.2817035315254568	0.972261729995175	1.0394291113287721	0.5636319963707592
