id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
5562	0.9366406683973886	-0.1531272041636663	6.677231489561731	8.104882006855073e-6	7.104348297043309e-5	3.546003252526387	Cell2_inhibitor1 - Cell2_DMSO
3617	0.5431555241384305	-0.07606955112183063	6.671194016482049	8.188015795738036e-6	7.164866145530495e-5	3.535498308986811	Cell2_inhibitor1 - Cell2_DMSO
4206	-0.43563023750775137	-0.04664476998114391	-6.667992436343012	8.23246244947008e-6	7.191381287475237e-5	3.5299256558384036	Cell2_inhibitor1 - Cell2_DMSO
4212	0.8542031396444396	0.06260401491483296	6.66303233854024	8.301821999511658e-6	7.239530539539841e-5	3.5212893424414853	Cell2_inhibitor1 - Cell2_DMSO
4577	-0.8950558380444357	-0.07059964778286895	-6.660930764477743	8.331393783756168e-6	7.242892919254698e-5	3.517629145974632	Cell2_inhibitor1 - Cell2_DMSO
5082	-0.9715795566700123	-0.06173639336868497	-6.660733822934967	8.334170648630997e-6	7.242892919254698e-5	3.5172861124325303	Cell2_inhibitor1 - Cell2_DMSO
2355	-0.6699484566998238	-0.013697965786352542	-6.659487741646421	8.351762819075722e-6	7.24579559252235e-5	3.51511555911977	Cell2_inhibitor1 - Cell2_DMSO
531	0.4391152418983608	-0.046319470530467574	6.65155180208525	8.464719190632177e-6	7.319647455380548e-5	3.501286889507777	Cell2_inhibitor1 - Cell2_DMSO
2209	1.4499364254167466	-0.3658187928237384	6.651484639604844	8.465681950754843e-6	7.319647455380548e-5	3.501169819293275	Cell2_inhibitor1 - Cell2_DMSO
4992	0.5105097841640519	0.003628170816760306	6.642780799036398	8.591425690021633e-6	7.415756911387094e-5	3.4859929774091976	Cell2_inhibitor1 - Cell2_DMSO
4917	1.2177269440923466	0.05713284027233377	6.6211666895152	8.912219940915348e-6	7.679614606714174e-5	3.448259340496988	Cell2_inhibitor1 - Cell2_DMSO
4404	1.055946713600968	-0.028987037872763268	6.618820207062666	8.947793521312863e-6	7.697222041007547e-5	3.4441590011035865	Cell2_inhibitor1 - Cell2_DMSO
3253	0.678899996959657	-0.04480089434527409	6.613612514185817	9.027276562347129e-6	7.752478723475136e-5	3.4350561506243737	Cell2_inhibitor1 - Cell2_DMSO
966	0.9065132466588567	-0.43131788513254954	6.611713161036801	9.056449425108398e-6	7.758030174110065e-5	3.43173522145631	Cell2_inhibitor1 - Cell2_DMSO
764	0.7741565039076082	0.018433643940475183	6.610445071079852	9.07598144533591e-6	7.758030174110065e-5	3.429517748933809	Cell2_inhibitor1 - Cell2_DMSO
236	0.853568961828904	-0.10021392636304485	6.610215642913859	9.079519971666973e-6	7.758030174110065e-5	3.429116530772169	Cell2_inhibitor1 - Cell2_DMSO
431	1.0550757765060697	-0.24695320643652824	6.607128897629444	9.12726835242357e-6	7.785743675121044e-5	3.423717802436573	Cell2_inhibitor1 - Cell2_DMSO
2684	1.0283780417918236	-0.01677525637105839	6.597312668877803	9.280869975501982e-6	7.903508032739041e-5	3.4065404430962802	Cell2_inhibitor1 - Cell2_DMSO
1158	0.46043338857707816	-0.2907802693708812	6.5902195763296465	9.393544190612169e-6	7.971394394653506e-5	3.3941200064600308	Cell2_inhibitor1 - Cell2_DMSO
5978	0.9551560473102761	-0.07490647252859103	6.588896781827595	9.414714889770467e-6	7.971394394653506e-5	3.391802944583195	Cell2_inhibitor1 - Cell2_DMSO
