id	Phos_number	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
638	1	0.2073551173690704	0.18346363076562172	1.3384328213051149	0.20365534602691196	0.3816611194770846	-6.518788791177791	Cell2_inhibitor1 - Cell2_DMSO
1093	2	-0.18988012797020537	0.19218710435086628	-1.338198517406576	0.20372964781434907	0.3816611194770846	-6.519084428396703	Cell2_inhibitor1 - Cell2_DMSO
1094	2	-0.18988012797020537	0.19218710435086628	-1.338198517406576	0.20372964781434907	0.3816611194770846	-6.519084428396703	Cell2_inhibitor1 - Cell2_DMSO
785	1	0.33481549760525237	0.10775179034372877	1.3380346798214944	0.20378161662808872	0.3816611194770846	-6.519291130173471	Cell2_inhibitor1 - Cell2_DMSO
691	1	-0.9991653505739228	-0.4496394839698881	-1.3344969275447884	0.2049064145702845	0.3836384000464882	-6.523749772498425	Cell2_inhibitor1 - Cell2_DMSO
2281	1	0.23091132476039805	-0.016592680624688032	1.3332781242404599	0.2052950895886895	0.38423659793300885	-6.525283761669509	Cell2_inhibitor1 - Cell2_DMSO
982	1	-0.4180833903513139	0.13196380124312151	-1.3330050662217525	0.2053822495840423	0.3842702581473072	-6.525627287415045	Cell2_inhibitor1 - Cell2_DMSO
5077	1	-0.8211442388478448	-0.43141695148908643	-1.331362340800721	0.20590724149173475	0.3851228035308372	-6.527692821574277	Cell2_inhibitor1 - Cell2_DMSO
5646	1	0.30004274630517036	0.11653907860985117	1.3296785110815055	0.20644650035869375	0.3860014505192002	-6.529808031751564	Cell2_inhibitor1 - Cell2_DMSO
1818	1	0.3033261569195251	0.21297180190802875	1.3271895845842352	0.20724569649766167	0.387365358023052	-6.5329308694303645	Cell2_inhibitor1 - Cell2_DMSO
2336	1	-0.2973743292403689	0.36493156279636874	-1.3263413473334542	0.20751863889199773	0.3877450518146813	-6.533994129573825	Cell2_inhibitor1 - Cell2_DMSO
6284	2	-0.20249712252519908	-0.07788900105601021	-1.3254610975196204	0.207802190329013	0.3881443064148175	-6.535096970243875	Cell2_inhibitor1 - Cell2_DMSO
4885	1	0.6891505137822442	-0.17595858864859487	1.324731609483643	0.20803741543823911	0.3884188181578868	-6.536010503252412	Cell2_inhibitor1 - Cell2_DMSO
4640	1	-0.5308342781772504	-0.9363502980822582	-1.3245717187348844	0.2080890014109579	0.3884188181578868	-6.536210682202832	Cell2_inhibitor1 - Cell2_DMSO
3509	1	0.34868512554493974	-0.19920144801082895	1.3240632891717552	0.20825310628857344	0.388594560105148	-6.536847100144853	Cell2_inhibitor1 - Cell2_DMSO
2036	1	-0.6413819339039695	-0.935609599207616	-1.3236019894955993	0.20840208988264805	0.38874197760178303	-6.537424363016809	Cell2_inhibitor1 - Cell2_DMSO
3398	1	0.8899644855528697	-0.31282131211030806	1.3230791599944014	0.20857104985913036	0.38892654648119135	-6.538078438012974	Cell2_inhibitor1 - Cell2_DMSO
5298	1	-0.6003248312995474	-0.04744188355857491	-1.322835020917904	0.20864998496853993	0.38894317667793266	-6.538383795689826	Cell2_inhibitor1 - Cell2_DMSO
1744	1	0.5590723773375191	-0.4962275591039464	1.3210225593452303	0.2092367475598559	0.3899061163015765	-6.540649394034771	Cell2_inhibitor1 - Cell2_DMSO
4747	1	0.6730987807949794	0.11382151281707999	1.320499717067702	0.20940625957136205	0.389967491078055	-6.54130251278682	Cell2_inhibitor1 - Cell2_DMSO
4336	1	-0.4897205318129689	-0.03253253266548503	-1.3204879198235335	0.20941008566801764	0.389967491078055	-6.541317247271941	Cell2_inhibitor1 - Cell2_DMSO
7980	1	-0.47718162170583955	-0.16506447881085007	-1.31910412883426	0.20985927128144205	0.39055938249373606	-6.5430448732781405	Cell2_inhibitor1 - Cell2_DMSO
5492	1	0.7861172091048572	-0.5737041831799985	1.3190755908180216	0.2098685430681912	0.39055938249373606	-6.543080487677993	Cell2_inhibitor1 - Cell2_DMSO
7444	1	0.22258657920484884	-0.013476143568406762	1.3186664458107678	0.2100015076550914	0.39067594608976314	-6.543591021006727	Cell2_inhibitor1 - Cell2_DMSO
7879	1	-0.15516525668635273	-0.022766778411603707	-1.3178595648921247	0.21026392886872017	0.39103318542542365	-6.544597496925484	Cell2_inhibitor1 - Cell2_DMSO
2260	1	0.23082264312240058	-0.09073129119156616	1.3156648341402966	0.21097906172830855	0.3922318232599578	-6.547332748589223	Cell2_inhibitor1 - Cell2_DMSO
993	1	0.599865946046322	0.015024590586886828	1.3126852114838483	0.21195309027878806	0.39391081180952414	-6.551040617031689	Cell2_inhibitor1 - Cell2_DMSO
7856	1	1.2679736277536398	-0.8282580456810673	1.3095244379028406	0.21299030395808094	0.39570606638365874	-6.554966876299142	Cell2_inhibitor1 - Cell2_DMSO
1653	1	-0.45720026670373237	-0.21621594340052072	-1.308532339146548	0.21331670655400256	0.39617997489384293	-6.556197749028455	Cell2_inhibitor1 - Cell2_DMSO
3807	1	-0.46422875538121655	-0.03660689048008771	-1.3070472818883991	0.21380604767511438	0.396948459316977	-6.558038886565652	Cell2_inhibitor1 - Cell2_DMSO
977	1	0.4402766799322145	-0.1032922747549933	1.3068430941544602	0.2138734003124594	0.396948459316977	-6.558291908101235	Cell2_inhibitor1 - Cell2_DMSO
2814	1	-0.4309802786540531	-0.47740607047552175	-1.3023425369094028	0.21536228713202668	0.3995783249894483	-6.563861116755506	Cell2_inhibitor1 - Cell2_DMSO
1854	1	0.7289197293949319	-0.37938318536581506	1.302122057482857	0.2154354407719668	0.3995805921496746	-6.564133569465519	Cell2_inhibitor1 - Cell2_DMSO
1300	1	-0.26883194350717665	-0.2634365671584517	-1.2984517392103387	0.2166561701575319	0.4017106225717923	-6.568663874456085	Cell2_inhibitor1 - Cell2_DMSO
813	1	0.6643067989187306	0.764967722994839	1.2965317218863024	0.21729697204197349	0.4026478405670239	-6.571029846306249	Cell2_inhibitor1 - Cell2_DMSO
150	1	-0.8648323633017487	-0.2916977858257954	-1.2965028746889333	0.21730661134472326	0.4026478405670239	-6.571065373159543	Cell2_inhibitor1 - Cell2_DMSO
1580	1	-0.20837160156098114	0.10408149945812124	-1.2952902787252027	0.2177121118462985	0.4030099362148197	-6.572558198416655	Cell2_inhibitor1 - Cell2_DMSO
3195	1	-0.5220876991317966	0.8125671619375856	-1.2952896989833607	0.21771230586136495	0.4030099362148197	-6.572558911878572	Cell2_inhibitor1 - Cell2_DMSO
6255	2	-0.22219618143257092	0.23772002107823628	-1.2952676664758858	0.21771967931245254	0.4030099362148197	-6.5725860261009394	Cell2_inhibitor1 - Cell2_DMSO
4825	2	0.41866277137256147	-0.026129986696046863	1.2947274524610022	0.21790053141659813	0.40307607459846906	-6.573250727210181	Cell2_inhibitor1 - Cell2_DMSO
4826	2	0.41866277137256147	-0.026129986696046863	1.2947274524610022	0.21790053141659813	0.40307607459846906	-6.573250727210181	Cell2_inhibitor1 - Cell2_DMSO
926	2	-0.8521795523397	-0.05426352315444719	-1.293993568354277	0.21814641352110395	0.4033965802628936	-6.574153385290877	Cell2_inhibitor1 - Cell2_DMSO
820	1	1.480816779686733	-1.2518778699715236	1.2937584012278815	0.21822525156855416	0.4034080773588414	-6.574442551145439	Cell2_inhibitor1 - Cell2_DMSO
5658	1	0.49852815939535855	-0.322210769087689	1.2925460107251632	0.21863205982836273	0.4040256461565386	-6.575932685617467	Cell2_inhibitor1 - Cell2_DMSO
6094	1	0.7141272138182624	0.23891952827871593	1.289662319757104	0.21960210723362072	0.4056833075100642	-6.579472661627841	Cell2_inhibitor1 - Cell2_DMSO
7536	1	1.1855310972197202	-0.5034933746605178	1.286875361151885	0.22054289378426697	0.4072335291029863	-6.582888084456771	Cell2_inhibitor1 - Cell2_DMSO
