Protein_IDs	GeneID	Cell1_DMSO_1	Cell1_DMSO_2	Cell1_DMSO_3	Cell1_inhibitor1_1	Cell1_inhibitor1_2	Cell1_inhibitor1_3	Cell1_inhibitor2_1	Cell1_inhibitor2_2	Cell1_inhibitor2_3	Cell2_DMSO_1	Cell2_DMSO_2	Cell2_DMSO_3	Cell2_inhibitor1_1	Cell2_inhibitor1_2	Cell2_inhibitor1_3	Cell2_inhibitor2_1	Cell2_inhibitor2_2	Cell2_inhibitor2_3
A8K0D4	10629	-0.5149703888665265	-0.4194093761172262	-0.12561376898045573	-0.051106218714462415	0.03415650458592978	0.14617154911875474	0.25837504530292854	0.06800698199146815	0.06330190391910762	0.1719386126953939	0.2503344521064257	0.3821180846147758	0.2989489489166015	0.17618649403224573	0.36767998054409645	0.5081258795411472	0.11635853927756479	-0.659834420642678
A8K0I0	23759	0.17338026743149726	0.15859885818828445	0.24749843856846176	0.464463577894346	0.12172442547323215	0.3962976733146526	0.42312364847009043	0.19029622099993482	0.6008692496909376	-0.3392319000173263	-0.5123093375796692	-0.502176711283191	-1.4562178534220607	-1.3148671511151946	-1.5300199875704088	-0.8105056568856028	-0.7783481822699265	-0.9892777302669735
A8K1J3	5886	0.4225776880595582	0.4307099966656267	-0.16725688421911933	-0.3016838568118274	-0.022679556752496666	-0.6420434123007546	-0.3943012304694964	0.2999106949716026	-0.6897839487583539	0.357815216245422	0.2917112516772953	0.15108197696155656	-0.9378063593465136	-0.9011482428152426	-0.5222404066712087	0.29060318208252056	0.23474867938711697	0.13467575043062752
A8K3R3	27342	-0.24263261709328532	-0.2367311641709371	0.04653855414147934	-0.3472574588373938	-0.16155434584311124	0.2904413820217684	0.19253359066431308	-0.25672077029265417	0.43472515279514923	-0.2102757890745952	-0.21035264571711032	-0.4799098530812671	-0.5057682902931937	-0.49672587480931263	-0.2603776910381761	0.009407681208195129	-0.16372637086649178	-0.0043643661381160825
A8K4G3	3055	1.0308878864877649	1.069668331880127	1.3814996853984542	-0.27863524363542425	-0.619937533249189	1.208048267509664	-0.3693300454342836	-0.4692817947746679	1.062388688376032	0	0	0	0	0	0	0	0	0
A8K5G0	10147	-0.3609288137924054	-0.16731680349866096	-0.5496792239894877	-0.17172669741213298	-0.2541396112183243	-0.13135342814632622	-0.2593947560544816	-0.40995899913084877	-0.16104824588575894	0.3736059301533725	0.4811218755489115	0.3368813703760871	-0.08250782797102119	-0.07002202490349063	0.057128798813714354	0.2822354656602677	0.31081731059463635	0.17281313080626504
A8K6Q8	7037	-0.907956378992985	-0.9261649492001425	-0.91262968546223	0.32688819929184376	0.3339870741335993	-0.9257317629651567	-0.19457258438928626	0.017202553368234064	-0.7625493304016651	-0.6750229804921783	-0.8751816734610891	-0.31346367805546294	1.294185277624031	0.9252768171900065	1.0834989711037686	0.4228589513284362	0.40832445242984505	0.5482412025246823
A8K8N5	9101	0.028040434254670288	0.09011184699177832	0.2493131813588132	0.11352274780580984	0.8404553834988988	0.4890892504040174	0.37074443229829335	0.22337988558179767	0.5335056768420756	0.9352694014397454	1.0480134556180118	0.8332798831035646	0.66348217459052	0.8111389976490457	0.7301466493153406	1.0305607442240827	1.0294041141957422	0.8474759938020142
A8K8Q4	3981	0.15017917249357637	0.18917327125394579	-0.018406760441104453	0.15115819831175514	-0.05536563934434824	0.07679858433832365	0.0287530463394976	-0.156885627588375	0.06664027264416816	0.21072952901767472	0.16398306918256011	0.12562153862798908	-0.06083221738024136	0.17595436260124941	0.22610183745557322	0.11360745135718986	0.15165418514670392	0.20469123120362198
A8K930	23301	-0.6472274006114578	-0.40478588031784923	-1.3410954355790867	-1.3419256772480939	-1.0962723517168982	-1.2396518356197639	-0.9699012455534124	-1.2659923961408275	-1.8591097864617314	0.25182964252728546	0.20286187954943102	0.15679265303706202	0.628084826342505	0.6101061711456985	0.2703686098694398	0.019100013822288986	0.3048943145900793	0.2252720145886684
A8K9B9	30844	0.16479533127580126	0.09304132559059042	-0.07023533964453499	-0.16370561189046384	-0.1729714478335751	-0.07400670824572231	-0.2600379914666018	-0.42554974106515964	0.02589065209414443	0.006969880671517714	-0.03775518178460402	0.10690260740472013	-0.4918751107722663	-0.42252930060212535	-0.5701716881505838	-0.28562071184743587	-0.2646057970587741	-0.2942340118842708
